Year,Quarter,Region,Industry,Female Employment Rate
2020,Q1,北京市,美甲师,0.34064045786031794
2020,Q1,北京市,化妆师,1.109237638961932
2020,Q1,北京市,月嫂,1.3453661274504407
2020,Q1,北京市,会计师,1.5768756948947957
2020,Q1,北京市,幼儿园教师,1.3446574963865068
2020,Q1,北京市,瑜伽教练,1.4989510225976217
2020,Q1,北京市,护士,1.3895291900627218
2020,Q1,北京市,人力资源专员,2.3991032806275534
2020,Q1,北京市,社交媒体经理,1.2355012281067101
2020,Q1,北京市,室内设计师,0.13215788700573886
2020,Q1,北京市,服装设计师,2.35045432908635
2020,Q1,北京市,饮食营养师,0.34174483150450646
2020,Q1,北京市,客户服务代表,1.197133517964475
2020,Q1,北京市,旅游顾问,0.6387728029281968
2020,Q1,北京市,美容顾问,2.0707654756848988
2020,Q1,北京市,婚礼策划师,2.377188546159677
2020,Q1,北京市,图书管理员,2.189632196914439
2020,Q1,北京市,儿童心理咨询师,1.837202194266321
2020,Q1,北京市,珠宝设计师,0.14262664818264215
2020,Q1,北京市,花艺师,1.7510694473708304
2020,Q1,北京市,音乐教师,1.777841114289791
2020,Q1,北京市,舞蹈教师,2.230330984338475
2020,Q1,北京市,保险代理人,1.0306787901974963
2020,Q1,北京市,文案策划,1.297350167288887
2020,Q1,北京市,秘书,0.9780563218858263
2020,Q1,北京市,接待员,2.4451175132430563
2020,Q1,北京市,法律助理,0.5425234782968638
2020,Q1,北京市,牙科助理,0.0424701862653756
2020,Q1,北京市,医疗记录员,0.8326640982927713
2020,Q1,北京市,营销专员,0.7790695233250534
2020,Q1,北京市,公关专员,1.6250605901275115
2020,Q1,北京市,教育咨询顾问,0.3971949535818246
2020,Q1,北京市,拍卖师,2.1186055988371035
2020,Q1,北京市,银行柜员,0.6283755722297278
2020,Q1,北京市,零售店经理,1.8714190491115215
2020,Q1,北京市,酒店前台,2.142963443471992
2020,Q1,北京市,旅馆经理,2.4311841809227808
2020,Q1,北京市,健康顾问,0.7886853900979129
2020,Q1,北京市,美发师,2.1130391412212783
2020,Q1,北京市,美体师,1.8361278744560017
2020,Q1,北京市,宠物美容师,0.6680128129653996
2020,Q1,北京市,家政服务员,0.7970734078674516
2020,Q1,北京市,空乘人员,2.1674490073936656
2020,Q1,北京市,旅行社操作员,0.9324507737789256
2020,Q1,北京市,婴儿游泳教练,1.977693954964105
